99,"Investe Em Mim","Jonas Esticado","Forró"
100,"Romance desapegado","Conde do Forró","Forró"
101,"Recairei","Barões da Pisadinha","Forró"
102,"Na Cama Que Eu Paguei","Wesley Safadão – Ft. Zé Neto E Cristiano","Forró"
103,"Chorona","Mano Walter ft Paula Fernandes","Forró"
104,"Vai Doer","Xand Avião","Forró"
105,"Basta você me ligar","Barões da Pisadinha ft Xand Avião","Forró"
106,"Algo Mais (Amante)","Xand Avião – Ft. Gusttavo Lima","Forró"
107,"Rita","Tierry","Forró"
108,"Cidade Inteira","Eric Land – Ft. Xand Avião","Forró"
109,"Casal Raiz","Xand Avião","Forró"
110,"Tá rocheda","Barões da Pisadinha","Forró"
111,"Não valeu","Wesley Safadão","Forró"
112,"Todo mundo sabia","Matheus Moraes ft Eric Land","Forró"
113,"Dois Lados","Wesley Safadão","Forró"
114,"Quem Me Dera","Márcia Fellipe – Feat. Jerry Smith","Forró"
115,"Igual Ela, Só Uma","Wesley Safadão","Forró"
116,"Vai lá","Wesley Safadão","Forró"
117,"Amor de rapariga","Raí Saia Rodada ft Tony Guerra","Forró"
118,"Juramento Do Dedinho","Mano Walter","Forró"
119,"Só Pra Castigar","Wesley Safadão","Forró"
120,"Ar Condicionado No 15","Wesley Safadão","Forró"
121,"Jenifer","Gabriel Diniz","Forró"
122,"Saudade de mim","Conde do Forró","Forró"
123,"Me calei","Xand Avião, Wesley Safadão","Forró"
124,"Despedida","Wesley Safadão ft Zé Neto e Cristiano","Forró"
125,"Casa de praia","Barões da Pisadinha","Forró"
126,"Descontar a raiva","Conde do Forró","Forró"
127,"Matuto de verdade","Mano Walter","Forró"
128,"Então Vem Cá","Mano Walter – Feat Claudia Leitte","Forró"
129,"Fica Amor","Alemão Do Forró","Forró"
130,"Letícia","Zé Vaqueiro","Forró"
131,"Volta Vai","Ávine Vinny – Feat Simone","Forró"
132,"Bebe Vem Me Procurar","Saia Rodada","Forró"
133,"Fingindo Maturidade","Mano Walter – Ft. Gustavo Mioto","Forró"
134,"Nêga","Tarcisío do Acordeon ft Victor Fernandes","Forró"
135,"Era Eu","Saia Rodada","Forró"
136,"Um degrau na escada","Calcinha Preta ft Gusttavo Lima","Forró"
137,"Inquilina","Aviões Do Forró","Forró"
138,"Romance Com Safadeza","Wesley Safadão – Part. Anitta","Forró"
139,"Tenho medo","Zé Vaqueiro","Forró"
140,"A vida é uma festa","Wesley Safadão","Forró"
141,"Romance desapegado","Márcia Fellipe e Ellen Nery","Forró"
142,"Maturidade","Ávine Vinny – Feat. Matheus e Kauan","Forró"
143,"Maria Santinha","Wesley Safadão","Forró"
144,"Coração Machucado","Wesley Safadão","Forró"
145,"Quando o Mel É Bom","Simone e Simaria","Forró"
146,"Se namorar fosse bom","Barões da Pisadinha","Forró"
147,"Deu medo","Mano Walter ft Márcia Fellipe","Forró"
148,"Não Deixo Não","Mano Walter","Forró"
149,"Conta de luz","Calcinha Preta ft Wesley Safadão","Forró"
150,"Eu Acho Que Não","Saia Rodada","Forró"
151,"Agora estou sofrendo","Calcinha Preta ft Gusttavo Lima","Forró"
152,"Meu fraco","Xand Avião","Forró"
153,"Drive Thru","Márcia Fellipe – Ft. Gusttavo Lima","Forró"
154,"Filho Do Mato","Saia Rodada","Forró"
155,"Sonhei Que Tava Me Casando","Wesley Safadão","Forró"
156,"Monta Logo Vai","Mano Walter","Forró"
157,"Quem me colocou pra beber","Barões da Pisadinha","Forró"
158,"Meu Coração Deu Pt","Wesley Safadão – Part. Matheus e Kauan","Forró"
159,"Kitnet","Xand Avião","Forró"
160,"Meu coração quer tu","Bonde do Brasil","Forró"
161,"Ninguém É De Ferro","Wesley Safadão – P. Marilía Mendonça","Forró"
162,"Misturou","Mano Walter, Léo Santana","Forró"
163,"Saudade Boa","Jonas Esticado – Part. Felipe Araujo","Forró"
164,"Paraquedas","Gabriel Diniz – Pt. Jorge e Mateus","Forró"
165,"Festa na roça","Barões da Pisadinha","Forró"
166,"Vem Me Amar","Jonas Esticado","Forró"
167,"Daniela","Calcinha Preta ft Raí Saia Rodada","Forró"
168,"Horóscopo","Matruz com Leite","Forró"
169,"Roxinho","Victor Fernandes ft Tarcisío do Acordeon","Forró"
170,"Ressaca De Saudade","Wesley Safadão","Forró"
171,"Acabou Acabou","Gabriel Diniz – Part. Wesley Safadão","Forró"
172,"Chupadinha","Barões da Pisadinha","Forró"
173,"Ele não tem","Jonas Esticados ft Gusttavo Lima","Forró"
174,"Galera do Interior","Barões da Pisadinha ft Luan Estilizado","Forró"
175,"Se é Pra Gente Ficar","Solange Almeida – P. Wesley Safadão","Forró"
176,"JBL","Solange Almeida e Márcia Fellipe","Forró"
177,"O Povo Gosta É Do Piseiro","Eric Land – Ft. Zé Vaqueiro","Forró"
178,"Atende aí","Bonde do Brasil","Forró"
179,"Beijinho De Esquimó","Mano Walter","Forró"
180,"Status","Márcia Fellipe ft Barões da Pisadinha","Forró"
181,"Mamãe que é mamãe","Barões da Pisadinha","Forró"
182,"Nem vá","Matheus Fernandes ft Zé Neto e Cristiano","Forró"
183,"Cracudo","Tierry","Forró"
184,"Vou te amar","Vitor Fernandes","Forró"
185,"HB20","Tierry","Forró"
186,"Fala comigo bebê","Barões da Pisadinha","Forró"
187,"Hackearam-me","Tierry","Forró"
188,"Já que me ensinou a beber","Barões da Pisadinha","Forró"
189,"Só não me ilude","Calcinha Preta","Forró"
190,"Investe em mim","Barões da Pisadinha","Forró"
191,"Lembrando de você","Eric Land","Forró"
192,"Voando feito um gavião","Gleydson Gavião ft Wesley Safadão","Forró"
193,"Meu Mozim","Bonde do Brasil","Forró"
